# run_start: 2026-07-04 08:08:51 | build: Jul  3 2026 21:53:53 | target_hz: 1000
timestamp_ns,dt,raw_baro_alt,gps_alt,ekf_alt,ekf_vel_z,pid_target,pid_out_throttle,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,ekf_roll_deg,ekf_pitch_deg,ekf_yaw_deg,tgt_roll_deg,tgt_pitch_deg,tgt_yaw_deg,pwm_fr,pwm_rl,pwm_fl,pwm_rr
1783120128225325312,0.001,-0.680607,-0.680607,-0.679133,-2.24963e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128226325248,0.001,0,0,-0.679133,-2.24923e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128227325184,0.001,0,0,-0.679133,-2.24883e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128228325120,0.001,-0.680607,-0.680607,-0.679136,-2.2373e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128229325056,0.001,0,0,-0.679136,-2.23691e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128230324992,0.001,-0.680607,-0.680607,-0.679138,-2.22557e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128231324928,0.001,0,0,-0.679138,-2.22517e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128232324864,0.001,-0.680607,-0.680607,-0.679141,-2.21402e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128233324800,0.001,0,0,-0.679141,-2.21363e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128234324736,0.001,-0.680607,-0.680607,-0.679143,-2.20267e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128235324672,0.001,-0.680607,-0.680607,-0.679146,-2.19202e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128236324608,0.001,0,0,-0.679146,-2.19163e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120128237324544,0.001,-0.680607,-0.680607,-0.679149,-2.18112e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
