idx,sim_ts_ns,wall_us,read_us,interarrival_us,jitter_us,sim_dt_us
363,1782475481428713300,364710,0.6,653.4,403.4,750
364,1782475481429338300,365435,0.4,724.6,474.6,625
365,1782475481430088300,366112,0.5,677.2,427.2,750
366,1782475481430713300,366813,0.5,701,451,625
367,1782475481431588300,367618,0.9,805.4,555.4,875
368,1782475481432463300,368500,0.4,881.2,631.2,875
369,1782475481433213300,369261,0.7,761.3,511.3,750
370,1782475481433963300,369985,0.5,724.1,474.1,750
371,1782475481434588300,370662,0.5,677.3,427.3,625
372,1782475481435463300,371574,1.1,911.7,661.7,875
373,1782475481436213300,372287,0.8,712.7,462.7,750
374,1782475481436838300,372953,0.4,666.5,416.5,625
375,1782475481437588300,373619,0.5,666,416,750
376,1782475481438213300,374346,0.8,727.2,477.2,625
377,1782475481439213300,375275,0.8,928.5,678.5,1000
378,1782475481439838300,375952,0.5,676.7,426.7,625
379,1782475481440713300,376741,0.6,789.3,539.3,875
380,1782475481441338300,377473,0.9,732.2,482.2,625
381,1782475481442088300,378159,0.5,686.4,436.4,750
382,1782475481442713300,378828,0.4,668.3,418.3,625
383,1782475481443463300,379504,0.9,676.6,426.6,750
384,1782475481444088300,380177,0.4,672.6,422.6,625
385,1782475481444713300,380846,0.4,669.6,419.6,625
386,1782475481445463300,381565,0.8,718.9,468.9,750
387,1782475481446088300,382228,0.4,662.7,412.7,625
388,1782475481447213300,383312,0.9,1084,834,1125
389,1782475481447963300,384015,0.5,703.3,453.3,750
390,1782475481448713300,384839,0.7,823.9,573.9,750
391,1782475481449588300,385642,0.6,802.3,552.3,875
392,1782475481450338300,386396,0.9,754.8,504.8,750
393,1782475481451088300,387132,1.4,735.1,485.1,750
394,1782475481451838300,387950,0.9,818.1,568.1,750
395,1782475481452588300,388686,0.5,736.2,486.2,750
396,1782475481453338300,389404,0.6,718.6,468.6,750
397,1782475481454213300,390322,0.9,917.2,667.2,875
398,1782475481455088300,391168,0.5,846.6,596.6,875
399,1782475481455963300,392091,0.6,922.9,672.9,875
400,1782475481456838300,392895,0.6,803.6,553.6,875
401,1782475481457088300,421916,1.1,29021.1,28771.1,250
402,1782475481457838300,422678,0.6,762,512,750
403,1782475481458463300,423323,0.5,645.1,395.1,625
404,1782475481459213300,424105,0.5,782.4,532.4,750
405,1782475481459963300,424828,0.4,722.2,472.2,750
406,1782475481460588300,425480,0.5,652,402,625
407,1782475481461338300,426281,0.5,801.6,551.6,750
408,1782475481462088300,426974,0.4,693.1,443.1,750
409,1782475481462838300,427737,0.6,762.4,512.4,750
410,1782475481463588300,428430,0.6,693.4,443.4,750
411,1782475481464338300,429192,0.4,761.6,511.6,750
412,1782475481465463300,430362,1.9,1170.1,920.1,1125
413,1782475481466463300,431316,1.4,954.1,704.1,1000
414,1782475481467213300,432067,0.6,751.6,501.6,750
415,1782475481467838300,432805,0.5,737.5,487.5,625
416,1782475481468588300,433513,0.6,708.1,458.1,750
417,1782475481469213300,434162,0.4,648.7,398.7,625
418,1782475481469963300,434846,0.5,684.5,434.5,750
419,1782475481470588300,435528,0.6,681.9,431.9,625
420,1782475481471463300,436349,0.6,821.1,571.1,875
421,1782475481472213300,437091,0.5,741.7,491.7,750
422,1782475481472838300,437810,0.4,719.3,469.3,625
423,1782475481473588300,438505,0.5,695.2,445.2,750
424,1782475481474213300,439169,0.4,663.6,413.6,625
425,1782475481475088300,440057,1.2,888.1,638.1,875
426,1782475481475713300,440828,0.4,770.9,520.9,625
427,1782475481476588300,441689,0.8,861,611,875
428,1782475481477338300,442421,0.5,732.1,482.1,750
429,1782475481478088300,443116,0.5,695.3,445.3,750
430,1782475481478713300,443788,0.5,671.3,421.3,625
431,1782475481479338300,444480,0.5,692.1,442.1,625
432,1782475481480713300,445953,2.9,1473,1223,1375
433,1782475481481588300,446805,0.5,852,602,875
434,1782475481482338300,447544,0.6,739.2,489.2,750
435,1782475481482963300,448193,0.4,648.6,398.6,625
436,1782475481483713300,448887,0.5,694.8,444.8,750
437,1782475481484338300,449561,0.6,673.9,423.9,625
438,1782475481485088300,450252,1.5,691,441,750
439,1782475481485713300,450962,0.4,710.2,460.2,625
440,1782475481486463300,451624,0.5,661.4,411.4,750
441,1782475481487088300,452280,0.3,655.9,405.9,625
442,1782475481487838300,452974,0.7,694.1,444.1,750
443,1782475481488463300,453658,0.4,684.2,434.2,625
444,1782475481489088300,454302,0.3,643.9,393.9,625
445,1782475481489713300,454966,0.4,664,414,625
446,1782475481490588300,455773,0.7,807.1,557.1,875
447,1782475481491338300,456503,0.5,729.9,479.9,750
448,1782475481491963300,457150,0.3,647.3,397.3,625
449,1782475481492713300,457869,0.7,718.6,468.6,750
450,1782475481493463300,458601,0.5,732.1,482.1,750
451,1782475481494088300,459329,0.6,728.3,478.3,625
452,1782475481494838300,460002,0.5,672.8,422.8,750
453,1782475481495963300,461164,5.2,1162.1,912.1,1125
454,1782475481496963300,462143,0.9,978.5,728.5,1000
455,1782475481497588300,462858,1.4,715.6,465.6,625
456,1782475481498338300,463524,0.5,665.4,415.4,750
457,1782475481498963300,464166,0.6,642.1,392.1,625
458,1782475481499588300,464867,0.4,701,451,625
459,1782475481500338300,465525,0.5,658.6,408.6,750
460,1782475481500963300,466202,1,676.7,426.7,625
461,1782475481501713300,466899,0.5,697.1,447.1,750
462,1782475481502338300,467549,0.4,650.2,400.2,625
463,1782475481502963300,468217,0.5,667.2,417.2,625
464,1782475481503713300,468954,0.5,737.7,487.7,750
465,1782475481504338300,469622,0.3,667.7,417.7,625
466,1782475481505088300,470312,0.5,690.3,440.3,750
467,1782475481505838300,471036,0.6,724.2,474.2,750
468,1782475481506463300,471678,0.4,641.6,391.6,625
469,1782475481507088300,472325,0.3,647.1,397.1,625
470,1782475481507713300,472967,0.5,642,392,625
471,1782475481508338300,473614,0.6,646.8,396.8,625
472,1782475481509088300,474311,0.7,697.3,447.3,750
473,1782475481509713300,474994,0.4,682.5,432.5,625
474,1782475481510588300,475773,0.7,779.1,529.1,875
475,1782475481511213300,476633,0.9,860.1,610.1,625
476,1782475481512213300,477584,0.8,951.4,701.4,1000
477,1782475481512838300,478310,0.6,725.5,475.5,625
478,1782475481513713300,479178,0.8,868.5,618.5,875
479,1782475481514463300,479875,0.4,696.3,446.3,750
480,1782475481515088300,480530,0.4,654.9,404.9,625
481,1782475481515838300,481211,0.8,681.4,431.4,750
482,1782475481516463300,481891,0.5,680.3,430.3,625
483,1782475481517088300,482532,0.3,640.7,390.7,625
484,1782475481517713300,483178,0.4,646.5,396.5,625
485,1782475481518463300,483856,0.5,677.7,427.7,750
486,1782475481519088300,484546,0.4,690.2,440.2,625
487,1782475481519963300,485359,0.5,812.8,562.8,875
488,1782475481520713300,486093,0.5,734.2,484.2,750
489,1782475481521338300,486777,0.5,683.2,433.2,625
490,1782475481522088300,487489,0.4,712.6,462.6,750
491,1782475481522963300,488367,1.2,877.9,627.9,875
492,1782475481523588300,489080,0.5,712.8,462.8,625
493,1782475481524338300,489813,0.5,733.5,483.5,750
494,1782475481525213300,490720,0.9,906.8,656.8,875
495,1782475481526088300,491521,0.7,801,551,875
496,1782475481527088300,492563,0.6,1042.1,792.1,1000
497,1782475481527838300,493289,2.4,725.5,475.5,750
498,1782475481528463300,493944,0.4,654.7,404.7,625
499,1782475481529338300,494802,0.9,858.5,608.5,875
500,1782475481530213300,495688,0.8,886.1,636.1,875
501,1782475481530963300,496406,0.5,718.1,468.1,750
502,1782475481531588300,497079,0.4,673.2,423.2,625
503,1782475481532213300,497723,0.4,643.8,393.8,625
504,1782475481532838300,498381,0.4,657.4,407.4,625
505,1782475481533713300,499174,0.9,793.2,543.2,875
506,1782475481534338300,499822,0.3,648.7,398.7,625
507,1782475481534963300,500482,0.8,659.9,409.9,625
508,1782475481535713300,501139,0.5,656.2,406.2,750
